genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
H251N,10,k_7_3,0.215443469003188,1.05725004430873,1,3368.65283519934,0.282,0.212,0.394,0.881654543157014,0.800476766730869
H251N,10,k_7_3,0.464158883361278,2.27777617149647,1,4753.75138678435,0.2815,0.194,0.375,0.874930565130585,0.772620934118109
H251N,10,k_7_3,1,4.90732,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_7_3,2.15443469003188,10.5725004430873,0,8646.29353404231,0.398,NaN,NaN,0.838651670758805,0.709372227365964
H251N,10,k_7_3,4.64158883361278,22.7777617149647,0,8636.55850674658,0.398,NaN,NaN,0.838651861806296,0.709463602238352
H251N,10,k_7_3,10,49.0732,0,8636.5585067428,0.398,NaN,NaN,0.838651861806299,0.709463602238389
H251N,10,k_force,0.1,1.5e-05,1,5839.79065893953,0.25,0.0860000000000001,0.254,0.892029282249393,0.83701764978289
H251N,10,k_force,0.215443469003188,3.23165203504783e-05,1,6179.61258280497,0.2575,0.0910000000000001,0.263,0.887138904702641,0.822273600742748
H251N,10,k_force,0.464158883361278,6.96238325041917e-05,1,6892.68997022438,0.276,0.108,0.29,0.875315708955518,0.788959140124023
H251N,10,k_force,1,0.00015,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_force,2.15443469003188,0.000323165203504783,0,12476.7225553952,0.644999999999986,NaN,NaN,0.743726267367321,0.516964164117749
H251N,10,k_force,4.64158883361278,0.000696238325041917,0,14988.8165908028,0.663999999999984,NaN,NaN,0.501302576741451,0.295193946268717
H251N,10,k_force,10,0.0015,0,14064.6773872934,0.664999999999984,NaN,NaN,0.259064395847983,0.163222390885247
H251N,10,k_on,0.1,3631560,1,252.047666465581,0.0885000000000001,0.0840000000000001,0.134,0.913814820008536,0.909048804892348
H251N,10,k_on,0.215443469003188,7823958.84293219,1,838.299173870815,0.101,0.0810000000000001,0.137,0.911543611086041,0.89530903241718
