genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686,least_squares,3325.87523837113,0.333,0.136,1.31133142131694,-0.243243243243244,-0.419117647058824,1.95441697399273
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841,peak,2994.60909783253,0.333,0.136,1.16450901826517,-0.340840840840841,-0.485294117647059,1.70776411302884
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841,p95,3041.80273612007,0.333,0.136,1.13092661186349,-0.340840840840841,-0.485294117647059,1.63067786082897
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841,least_squares,3325.87523837113,0.333,0.136,0.94891808437528,-0.340840840840841,-0.485294117647059,1.25212839026238
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452,peak,2994.60909783253,0.333,0.136,1.89003830100057,0.0210210210210203,1.22058823529404,5.06252230271209
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452,p95,3041.80273612007,0.333,0.136,1.84519929135837,0.0210210210210203,1.22058823529404,4.8950379482924
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452,least_squares,3325.87523837113,0.333,0.136,1.60218269447154,0.0210210210210203,1.22058823529404,4.05726690992707
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267,peak,2994.60909783253,0.333,0.136,1.87601680335915,0.0225225225225217,1.25735294117638,5.10088272919155
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267,p95,3041.80273612007,0.333,0.136,1.83139533757016,0.0225225225225217,1.25735294117638,4.93545256517941
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267,least_squares,3325.87523837113,0.333,0.136,1.58955777579816,0.0225225225225217,1.25735294117638,4.10813760530609
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665,peak,2994.60909783253,0.333,0.136,1.84538916293756,0.0255255255255254,1.33823529411755,5.19698641756262
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665,p95,3041.80273612007,0.333,0.136,1.80124288568282,0.0255255255255254,1.33823529411755,5.03600118809823
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665,least_squares,3325.87523837113,0.333,0.136,1.56198073093687,0.0255255255255254,1.33823529411755,4.23130905869331
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2994.60909783253,0.333,0.136,1.77809151176127,0.0360360360360357,1.58088235294105,5.66209703393112
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3041.80273612007,0.333,0.136,1.7349893590875,0.0360360360360357,1.58088235294105,5.51067568588048
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3325.87523837113,0.333,0.136,1.50138610725701,0.0360360360360357,1.58088235294105,4.75464785279798
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.493999999999995,NaN,NaN,0.844629376879056,0.742100331157623,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.493999999999995,NaN,NaN,0.844629376879056,0.742100331157623,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.493999999999995,NaN,NaN,0.844629376879056,0.742100331157623,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,10,6.17297,0,7641.50286864554,0.807999999999969,NaN,NaN,0.842391690785685,0.73854476027306,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,10,6.17297,0,7641.50286864554,0.807999999999969,NaN,NaN,0.842391690785685,0.73854476027306,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_1,10,6.17297,0,7641.50286864554,0.807999999999969,NaN,NaN,0.842391690785685,0.73854476027306,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409,peak,2994.60909783253,0.333,0.136,0.0900329995635747,-0.151651651651652,0.566176470588235,0.35165996030684
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409,p95,3041.80273612007,0.333,0.136,0.0731211129076692,-0.151651651651652,0.566176470588235,0.348900716449281
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409,least_squares,3325.87523837113,0.333,0.136,-0.0185372259996624,-0.151651651651652,0.566176470588235,0.343897648044187
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501,peak,2994.60909783253,0.333,0.136,0.199805929382662,-0.153153153153153,0.551470588235294,0.367498107425804
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501,p95,3041.80273612007,0.333,0.136,0.181190913236429,-0.153153153153153,0.551470588235294,0.360405845048786
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501,least_squares,3325.87523837113,0.333,0.136,0.0803020240537964,-0.153153153153153,0.551470588235294,0.334024113076471
